Date,EGIE3,ITSA4,BBDC4,BBSE3
1/5/2015,26.120001,6.85083,17.922001,29.440001
1/6/2015,26.648001,6.90296,18.5116,30.690001
1/7/2015,27.32,7.16359,19.2472,30.200001
1/8/2015,27.6,7.23806,19.346399,30.110001
1/9/2015,25.48,6.98487,18.5063,29.129999
1/12/2015,24.76,6.86573,18.177601,29.799999
1/13/2015,24.968,6.88807,18.235001,29.18
1/14/2015,26.32,6.9253,18.428101,28.68
1/15/2015,26.280001,6.91041,18.2402,29.25
1/16/2015,26.864,7.037,18.4177,30.299999
1/19/2015,25.167999,6.7168,18.031601,29.6
1/20/2015,25.639999,6.85083,17.974199,29.17
1/21/2015,25.872,7.12636,18.412399,30.35
1/22/2015,25.608,7.20082,18.6159,30.42
1/23/2015,25.4,7.1487,18.454201,30.15
1/26/2015,24.799999,7.14125,18.7516,29.969999
1/27/2015,25,7.14125,18.7829,29.58
1/28/2015,25.84,6.99232,18.3916,28.91
1/29/2015,26.136,6.94764,18.1411,29.52
1/30/2015,24.912001,6.80615,17.598499,29.790001
2/2/2015,25.24,6.87317,17.781099,29.98
2/3/2015,25.264,7.09657,18.428101,30.26
2/4/2015,24.816,7.3572,18.892401,30.190001
2/5/2015,24.552,7.3572,18.5898,30.139999
2/6/2015,24.224001,7.44656,18.6681,29.33
2/9/2015,24.639999,7.39443,18.861099,30.049999
2/10/2015,23.879999,7.29763,18.386299,29.309999
2/11/2015,24.48,7.01593,17.890699,29.49
2/12/2015,24.84,7.1055,18.6003,30.25
2/13/2015,25.455999,7.3518,19.0959,29.99
2/18/2015,25.792,7.46376,19.3046,30.290001
2/19/2015,26.08,7.44883,19.262899,31.6
2/20/2015,25.280001,7.46376,19.309799,31.84
2/23/2015,25.048,7.51601,19.4977,32
2/24/2015,25.200001,7.58318,19.711599,32.669998
2/25/2015,26,7.61304,19.8211,32.900002
2/26/2015,26.6,7.65782,19.8629,33.060001
2/27/2015,26.719999,7.53093,19.617701,32.16
3/2/2015,26.104,7.4563,19.351601,32.599998
3/3/2015,26.351999,7.47122,19.3829,32.759998
3/4/2015,25.84,7.41151,18.9811,31.76
3/5/2015,26.4,7.38166,18.9498,31.52
3/6/2015,26.056,7.22492,18.720301,30.450001
3/9/2015,25.775999,7.03833,18.182899,29.85
3/10/2015,25.48,6.86666,17.5776,29.950001
3/11/2015,25.976,7.09804,18.104601,30.540001
3/12/2015,26.256001,7.12789,17.781099,29.83
3/13/2015,26.424,7.07564,17.562,29.52
3/16/2015,26.4,7.09804,17.822901,30.1
3/17/2015,26.92,7.2697,18.521999,31.540001
3/18/2015,27.360001,7.55333,19.252399,32.669998
3/19/2015,27.48,7.56079,18.929001,32.720001
3/20/2015,28.4,7.53093,19.2211,32.700001
3/23/2015,28.48,7.52347,19.1742,32.799999
3/24/2015,28.712,7.50854,18.9916,32.860001
3/25/2015,28.4,7.56079,19.002001,32.759998
3/26/2015,27.6,7.34434,18.4177,31.719999
3/27/2015,27.368,7.20253,17.9063,31.879999
3/30/2015,28.4,7.42644,18.282,32.849998
3/31/2015,28.24,7.44883,18.501101,32.869999
4/1/2015,29.040001,7.71006,19.1022,33.450001
4/2/2015,28.959999,7.84441,19.290001,34.470001
4/6/2015,29.32,7.98622,19.4778,35.990002
4/7/2015,28.775999,7.9713,19.584299,34.799999
4/8/2015,28.48,7.95637,19.577999,33.799999
4/9/2015,28.784,7.80709,19.2274,33.950001
4/10/2015,28.639999,7.85934,19.3025,35.41
4/13/2015,28.559999,7.85188,19.3526,35.32
4/14/2015,28.888,7.81456,19.621799,34.900002
4/15/2015,28.823999,7.93398,19.8347,36.009998
4/16/2015,28.752001,7.89666,19.841,36.189999
4/17/2015,28.4,7.80709,19.252399,35.400002
